Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
It seems normal and i don't think there would be some consequences,I don't think people generally understand mental disorders and a bit of shame,,,One coworker talked about her history with panic attacks,,,,,,,seems normal dont think would consequence,dont think people generally understand mental disorder bit shame,,,one coworker talked history panic attack,,,,,,,seems normal dont think would consequence dont think people generally understand mental disorder bit shame   one coworker talked history panic attack      ,-0.9042,Negative,Canada
If it's not relevant to my work I would not bring it up.,I'd be concerned about not getting the job.,,"It was a discussion somewhat in passing. A brief mention of anxiety, but no details byond that regarding severity or how it affects me.",,,,,"Discuss issues more openly. Allow for more modified work environments (work from home, etc.)",A past employer was upset I was disorganized and forgetting things. I explained my ADHD and that I need help. I was told it was 100% up to me to manage my work.,,relevant work would bring,id concerned getting job,,discussion somewhat passing brief mention anxiety detail byond regarding severity affect,,,,,discus issue openly allow modified work environment work home etc,past employer upset disorganized forgetting thing explained adhd need help told manage work,,relevant work would bring id concerned getting job  discussion somewhat passing brief mention anxiety detail byond regarding severity affect     discus issue openly allow modified work environment work home etc past employer upset disorganized forgetting thing explained adhd need help told manage work ,-0.2263,Negative,Germany
Only if I needed some accommodation or if it would hamper me from achieving performance expectations.,Only if I needed some accommodation or if it would hamper me from achieving performance expectations.,,,,,,,"It seems to me, after 28-years in the IT field, that there is a much more open and honest dialogue about mental issues, perhaps due to the predilection of many with anxiety, mild functional autism, or Asperger's to gravitate to the field.

In other fields, these types of mental disorders are typically seen as weaknesses.  In many cases, people in other fields, through TV/sitcoms movies, etc., have been exposed to the higher incidence rates for certain issues in the tech industry, but mainly as a source of humor.  The tech industry should show that some of these issues can actually be pulled on as a source of strength, both as the direct result of the issue (say, hyper-focus perhaps) or through the strength of character that is cultivated in learning to overcome these issues/challenges.  ",,"For classification purposes - I am a mid-40's male, with diagnosed anxiety and ADD.   I have done extensive research which leads me to strongly suspect that I am in the high-functioning end of the Asperger's spectrum.  Being high-functioning, I have progressed professionally into a management position for both technical and non-technical areas or responsibility.  I also have been happily married for nearly 25-years and have raised two successful normal children that work and contribute to society.",needed accommodation would hamper achieving performance expectation,needed accommodation would hamper achieving performance expectation,,,,,,,seems year field much open honest dialogue mental issue perhaps due predilection many anxiety mild functional autism aspergers gravitate field field type mental disorder typically seen weakness many case people field tvsitcoms movie etc exposed higher incidence rate certain issue tech industry mainly source humor tech industry show issue actually pulled source strength direct result issue say hyperfocus perhaps strength character cultivated learning overcome issueschallenges,,classification purpose mids male diagnosed anxiety add done extensive research lead strongly suspect highfunctioning end aspergers spectrum highfunctioning progressed professionally management position technical nontechnical area responsibility also happily married nearly year raised two successful normal child work contribute society,needed accommodation would hamper achieving performance expectation needed accommodation would hamper achieving performance expectation       seems year field much open honest dialogue mental issue perhaps due predilection many anxiety mild functional autism aspergers gravitate field field type mental disorder typically seen weakness many case people field tvsitcoms movie etc exposed higher incidence rate certain issue tech industry mainly source humor tech industry show issue actually pulled source strength direct result issue say hyperfocus perhaps strength character cultivated learning overcome issueschallenges  classification purpose mids male diagnosed anxiety add done extensive research lead strongly suspect highfunctioning end aspergers spectrum highfunctioning progressed professionally management position technical nontechnical area responsibility also happily married nearly year raised two successful normal child work contribute society,0.9186,Positive,Serbia
Physical health issues are commonly discussed openly and not stigmatized.,"Because I don't see how disclosing it could possibly help my likelihood of being hired, but so long as I'm being treated properly for it, it shouldn't affect my work.",,,,,,,"Discuss mental health as frequently and openly as physical health, and explicitly call out things like ""taking a mental health day"" as a perfectly valid and encouraged reason for using sick time.",,,physical health issue commonly discussed openly stigmatized,dont see disclosing could possibly help likelihood hired long im treated properly shouldnt affect work,,,,,,,discus mental health frequently openly physical health explicitly call thing like taking mental health day perfectly valid encouraged reason using sick time,,,physical health issue commonly discussed openly stigmatized dont see disclosing could possibly help likelihood hired long im treated properly shouldnt affect work       discus mental health frequently openly physical health explicitly call thing like taking mental health day perfectly valid encouraged reason using sick time  ,0.8225,Positive,Canada
Becouse I think the employer is going discard me,Becouse I'll be reject,,,,,,,,,,becouse think employer going discard,becouse ill reject,,,,,,,,,,becouse think employer going discard becouse ill reject         ,-0.7579,Negative,United States of America
,,,,,"It was an admission on my part of serious depression, only after it had become completely obvious and badly affected my work.",,,,,,,,,,,admission part serious depression become completely obvious badly affected work,,,,,,     admission part serious depression become completely obvious badly affected work     ,-0.8497,Negative,United States of America
,It would depend on my level of trust with the organization and how progressive they are in caring for their staff.,,,,,,,Provide mental health days and wellness programs. Remove any lingering stigma around mental health by having influencers be open about their struggles.,,,,would depend level trust organization progressive caring staff,,,,,,,provide mental health day wellness program remove lingering stigma around mental health influencers open struggle,,, would depend level trust organization progressive caring staff       provide mental health day wellness program remove lingering stigma around mental health influencers open struggle  ,0.7964,Positive,Colombia
"It typically feels that although it is illegal to do so, bringing up such situations in an interview would lead to not being hired","It typically feels that although it is illegal to do so, bringing up such situations in an interview would lead to not being hired",,,,Needing to leave a job due to mental health situations.,feeling of anxiety or depression related to current office state or deadlines,,in office therapists?,,,typically feel although illegal bringing situation interview would lead hired,typically feel although illegal bringing situation interview would lead hired,,,,needing leave job due mental health situation,feeling anxiety depression related current office state deadline,,office therapist,,,typically feel although illegal bringing situation interview would lead hired typically feel although illegal bringing situation interview would lead hired    needing leave job due mental health situation feeling anxiety depression related current office state deadline  office therapist  ,-0.9062,Negative,United Kingdom
"If it impacted job performance and was relevant to the position I was applying for, I would want to discuss it prior to being hired. ","I don't have a diagnosed mental health disorder, and frankly, I feel like it would have a negative impact on my likelihood of being hired. There are a lot of legal protections in place if you are categorized as physically or mentally disabled, but  not much to cover un-diagnosed or less severe mental health issues. ",,,General discussions about depression,,,"Discussions about depression, suicidal thoughts, stress related issues.",I think the biggest step would be to recognize that demanding long hours and constantly high levels of performance from people is not sustainable. I also think more could be done to be supportive to people experiencing issues and more education in the tech industry on the significance of mental health issues would be great. ,There is not really any sort of support for mental health issues at my place of employment. There is a phone number you can call if you want to talk to a third party help line and that is about it. I see people here that are clearly suffering but the prevalent attitude is that you should just suck it up and keep plodding along.,,impacted job performance relevant position applying would want discus prior hired,dont diagnosed mental health disorder frankly feel like would negative impact likelihood hired lot legal protection place categorized physically mentally disabled much cover undiagnosed less severe mental health issue,,,general discussion depression,,,discussion depression suicidal thought stress related issue,think biggest step would recognize demanding long hour constantly high level performance people sustainable also think could done supportive people experiencing issue education tech industry significance mental health issue would great,really sort support mental health issue place employment phone number call want talk third party help line see people clearly suffering prevalent attitude suck keep plodding along,,impacted job performance relevant position applying would want discus prior hired dont diagnosed mental health disorder frankly feel like would negative impact likelihood hired lot legal protection place categorized physically mentally disabled much cover undiagnosed less severe mental health issue   general discussion depression   discussion depression suicidal thought stress related issue think biggest step would recognize demanding long hour constantly high level performance people sustainable also think could done supportive people experiencing issue education tech industry significance mental health issue would great really sort support mental health issue place employment phone number call want talk third party help line see people clearly suffering prevalent attitude suck keep plodding along ,-0.8372,Negative,United States of America
"Depending on the issue, I might not bring it up if it wasn't obvious and I was concerned that it would affect their decision to hire me.",I'd be worried it would affect their hiring decision.,,,,,,,Talk about it more openly during new hire onboarding and annual benefits selection — some signs to be aware of and resources available.,,No,depending issue might bring wasnt obvious concerned would affect decision hire,id worried would affect hiring decision,,,,,,,talk openly new hire onboarding annual benefit selection sign aware resource available,,,depending issue might bring wasnt obvious concerned would affect decision hire id worried would affect hiring decision       talk openly new hire onboarding annual benefit selection sign aware resource available  ,0.2023,Positive,United States of America
This may leads to lose that job here in my country abundant employees available so I will be easily replaced by someone.,Same as explained for physical health issue.,,,,,,,Conduct some family events occasionally.,,,may lead lose job country abundant employee available easily replaced someone,explained physical health issue,,,,,,,conduct family event occasionally,,,may lead lose job country abundant employee available easily replaced someone explained physical health issue       conduct family event occasionally  ,-0.0772,Negative,Poland
I feel I would receive accommodation and understanding,"I feel I would not receive accommodations and acceptance or even get the job at all, because of the coldness of corporate America.",,,,,,,"I think they could provide more support with helping guide employees with mental health issues toward blending in with the rest of the workforce instead of treating us like we are crippled or inferior to those who don't identify as having these issues, and generally provide more support and guidance as well as not discriminating in their hiring practices at the start. ",,,feel would receive accommodation understanding,feel would receive accommodation acceptance even get job coldness corporate america,,,,,,,think could provide support helping guide employee mental health issue toward blending rest workforce instead treating u like crippled inferior dont identify issue generally provide support guidance well discriminating hiring practice start,,,feel would receive accommodation understanding feel would receive accommodation acceptance even get job coldness corporate america       think could provide support helping guide employee mental health issue toward blending rest workforce instead treating u like crippled inferior dont identify issue generally provide support guidance well discriminating hiring practice start  ,0.8885,Positive,United States of America
Stigma still exists I am afraid. Physical health is accepted but mental health issues are not. I also believe mental health issues are a higher risk to a company ; can't walk you can accommodate predictably but with mental health this is rarely ever the case; at least with me. ,Why would they hire someone already showing they will be challenging to manage and work with. Why should they have to....,Anger outbursts in office that kept me ending up in HR meetings. Also complaining about conspiracy things I thought were actually happening and causing me paranoia. I mentioned to was going to get help. Have not discussed this further with them since ; was 2 years ago last incident,,,,,,I dont hear much about this either way tbh so really can't comment effectively,,Not at this time,stigma still exists afraid physical health accepted mental health issue also believe mental health issue higher risk company cant walk accommodate predictably mental health rarely ever case least,would hire someone already showing challenging manage work,anger outburst office kept ending hr meeting also complaining conspiracy thing thought actually happening causing paranoia mentioned going get help discussed since year ago last incident,,,,,,dont hear much either way tbh really cant comment effectively,,time,stigma still exists afraid physical health accepted mental health issue also believe mental health issue higher risk company cant walk accommodate predictably mental health rarely ever case least would hire someone already showing challenging manage work anger outburst office kept ending hr meeting also complaining conspiracy thing thought actually happening causing paranoia mentioned going get help discussed since year ago last incident      dont hear much either way tbh really cant comment effectively  time,-0.8508,Negative,United States of America
Having a physical issue will mostly be noticeable. There’s no way to hide it.,I feel like this could be a detriment when being compared to another candidate. Disclosing a mental issue may mark me as being needy or high maintenance. ,,,,,,,Open 1 on 1 communication with employees. Better benefits disclosure.,,,physical issue mostly noticeable there way hide,feel like could detriment compared another candidate disclosing mental issue may mark needy high maintenance,,,,,,,open communication employee better benefit disclosure,,,physical issue mostly noticeable there way hide feel like could detriment compared another candidate disclosing mental issue may mark needy high maintenance       open communication employee better benefit disclosure  ,0.6486,Positive,Germany
It's affecting my productivity at work, It'd affect my performance at work.,,,,,,,,,,affecting productivity work,itd affect performance work,,,,,,,,,,affecting productivity work itd affect performance work         ,0,Neutral,India
,,Discussed depression and anxiety. Was given access to a councilor and given time off.,,,,,,,,,,,discussed depression anxiety given access councilor given time,,,,,,,,,  discussed depression anxiety given access councilor given time        ,-0.6597,Negative,Ukraine
,It would be the kiss of death,,,,,,,They do poorly the field is wide open for improvement,,,,would kiss death,,,,,,,poorly field wide open improvement,,, would kiss death       poorly field wide open improvement  ,0.2263,Positive,United States of America
Subconscious discrimination,Same,,Talked about depression in a light manner.  Response was supportive yet hands off,,,,,,,,subconscious discrimination,,,talked depression light manner response supportive yet hand,,,,,,,,subconscious discrimination   talked depression light manner response supportive yet hand       ,0.1779,Positive,Canada
,,,,,Some were accepting and others were unsure how to act or what to say,Some were understanding ,,Be more open. Actually care. ,I was told to take medical leave for mental health issues ,This is great ,,,,,,accepting others unsure act say,understanding,,open actually care,told take medical leave mental health issue,great,     accepting others unsure act say understanding  open actually care told take medical leave mental health issue great,0.8271,Positive,United States of America
"Hard to know how the potential employer would view you, may effect their decision","I believe it is still stigmatised, even if it is subconciuosly ",,,,,,,Tech industry seems to offer a lot of benefits such as health plans as incentives to join however the type of work involved is demanding which may have a negative affect on mental halth ,,,hard know potential employer would view may effect decision,believe still stigmatised even subconciuosly,,,,,,,tech industry seems offer lot benefit health plan incentive join however type work involved demanding may negative affect mental halth,,,hard know potential employer would view may effect decision believe still stigmatised even subconciuosly       tech industry seems offer lot benefit health plan incentive join however type work involved demanding may negative affect mental halth  ,0.1779,Positive,Poland
it depends on whether the question would come up and how I feel about the person asking,"it would not work for getting the job, unless I was told they have some kind of policy for that",,,,,,,instead of pushing people to their limit that should focus on reasonable goals and timetables to reach them,,,depends whether question would come feel person asking,would work getting job unless told kind policy,,,,,,,instead pushing people limit focus reasonable goal timetable reach,,,depends whether question would come feel person asking would work getting job unless told kind policy       instead pushing people limit focus reasonable goal timetable reach  ,0.5423,Positive,Australia
The employer will make allowances. Physical health doesn't impact productivity much,"Mental health very much impacts productivity. If an employer thinks you won't be as productive, they'll just fire you.",,,,,,,Better support for mental health care providers. If insurance paid for ongoing mental health care more consistently.,,"Employers will never hurt their bottom line intentionally. Mental health care is an expense, and employers will never foot that expense without government coercion.",employer make allowance physical health doesnt impact productivity much,mental health much impact productivity employer think wont productive theyll fire,,,,,,,better support mental health care provider insurance paid ongoing mental health care consistently,,employer never hurt bottom line intentionally mental health care expense employer never foot expense without government coercion,employer make allowance physical health doesnt impact productivity much mental health much impact productivity employer think wont productive theyll fire       better support mental health care provider insurance paid ongoing mental health care consistently  employer never hurt bottom line intentionally mental health care expense employer never foot expense without government coercion,0.9584,Positive,United Kingdom
,Too much social stigma and misconceptions related to mental health in general.,,,,,,,EDUCATION,,,,much social stigma misconception related mental health general,,,,,,,education,,, much social stigma misconception related mental health general       education  ,0,Neutral,United States of America
,"If I now leave my current job, I could be able to not afford applying to any interview. My body (my brain) asks me to stop. To take a sabbatical time. Get away from the industry for a while to invest to myself. From all this year I've been without interest for continuous improvement. I'm burn out",,,,"I have been suffering from severe anxiety for a year. I told them and their reaction was good and comprehensive. They are trying to help me letting me to make myself whatever I consider necessary to me, in order to I do not leave the company.",It's hard to me writing this kind of stuff. All of this still causes me a lot of damage. It's hard...,"Anxiety and depression issues. We work in a stressful startup-environment with so many hard work hours, responsability and tons of infinite work. Unsastainable work because lack of technical team / resources","I consider myself lucky in my current job position. I co-founded the project, I have been there from the beginning. The company is still small and I am essential yet. The relationship I have with my co-workers is really close. The human side of all of us is strong. All these things make it possible to be understanding with my personal situation. If I were in another more ""traditional company"" is possible that they are less compassionate with me.
",,"Not being emotionally prepared to work for a day, or a week, or a undefined-time... this industry still does not conceive it. This kind of ""disease"" is very subtle. Mental health is in its infancy, there is still everything to be done
",,leave current job could able afford applying interview body brain asks stop take sabbatical time get away industry invest year ive without interest continuous improvement im burn,,,,suffering severe anxiety year told reaction good comprehensive trying help letting make whatever consider necessary order leave company,hard writing kind stuff still cause lot damage hard,anxiety depression issue work stressful startupenvironment many hard work hour responsability ton infinite work unsastainable work lack technical team resource,consider lucky current job position cofounded project beginning company still small essential yet relationship coworkers really close human side u strong thing make possible understanding personal situation another traditional company possible less compassionate,,emotionally prepared work day week undefinedtime industry still conceive kind disease subtle mental health infancy still everything done, leave current job could able afford applying interview body brain asks stop take sabbatical time get away industry invest year ive without interest continuous improvement im burn    suffering severe anxiety year told reaction good comprehensive trying help letting make whatever consider necessary order leave company hard writing kind stuff still cause lot damage hard anxiety depression issue work stressful startupenvironment many hard work hour responsability ton infinite work unsastainable work lack technical team resource consider lucky current job position cofounded project beginning company still small essential yet relationship coworkers really close human side u strong thing make possible understanding personal situation another traditional company possible less compassionate  emotionally prepared work day week undefinedtime industry still conceive kind disease subtle mental health infancy still everything done,-0.6505,Negative,United States of America
Its obvious,Makes me seem less reliable,,,,,,,Its not often talked about even though most developers show symptoms,,,obvious,make seem less reliable,,,,,,,often talked even though developer show symptom,,,obvious make seem less reliable       often talked even though developer show symptom  ,0,Neutral,United States of America
