Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
"I feel like things not-relevant to my job would potentially not come up. It would depend. At the same time, it'd be pretty common place in an interview to say, ""I've been feeling ill lately"" or ""I recently broke my arm"" without thinking about it.",I would be worried it would affect how I am viewed in the interview and affect my candidacy for the position.,,Usually this is only with well-trusted co-workers with whom I have an established relationship. It has always been in the vein of complaining and comiseration. Co-workers in this case are supportive,,,,,"I think there's a long way to go to make those of us who have a mental health issue feel safe to talk about it. It feel like a risk almost every time right now.

That may be through talking about it more to reduce stigma, or making mental health as commonplace as physical health. Explicit safety statements could be good, as well. 

Personally a large part of why I would hide mental health issues is shame. The stigma of the past is strong.",,,feel like thing notrelevant job would potentially come would depend time itd pretty common place interview say ive feeling ill lately recently broke arm without thinking,would worried would affect viewed interview affect candidacy position,,usually welltrusted coworkers established relationship always vein complaining comiseration coworkers case supportive,,,,,think there long way go make u mental health issue feel safe talk feel like risk almost every time right may talking reduce stigma making mental health commonplace physical health explicit safety statement could good well personally large part would hide mental health issue shame stigma past strong,,,feel like thing notrelevant job would potentially come would depend time itd pretty common place interview say ive feeling ill lately recently broke arm without thinking would worried would affect viewed interview affect candidacy position  usually welltrusted coworkers established relationship always vein complaining comiseration coworkers case supportive     think there long way go make u mental health issue feel safe talk feel like risk almost every time right may talking reduce stigma making mental health commonplace physical health explicit safety statement could good well personally large part would hide mental health issue shame stigma past strong  ,0.9098,Positive,United Kingdom
,,Just general discussions about my issues,,,,,,,,,,,general discussion issue,,,,,,,,,  general discussion issue        ,0,Neutral,Netherlands
,fear of discrimination,,,,,,,"make it easier to talk about and get support for. for example, make it company policy that leaving work for therapy or mental health related appointments is okay",judging people who went to therapy,,,fear discrimination,,,,,,,make easier talk get support example make company policy leaving work therapy mental health related appointment okay,judging people went therapy,, fear discrimination       make easier talk get support example make company policy leaving work therapy mental health related appointment okay judging people went therapy ,0.4939,Positive,United States of America
"It depends on the circumstance--whether the health issue might have a reasonable impact on one's ability to succeed at the job, or not.","Mental health is still largely stigmatised. Unless the interviewer mentions his/her own struggles **first**, it's arguably too risky to bring up one's own issues in an interview setting even if they are a non-factor in one's ability to do the job offered.","Burnout and latent stress. Agreed to not make a bit deal about it within the department, but could take a step back from particularly stressful projects as-needed; also, to make use of accrued sick time.","Nothing formal; however, I've not hidden the fact that stressful periods take their toll--particularly as a migraine trigger.",,,,,"Society, in general, needs better education about ""invisible"" health matters--both mental and physical!",,,depends circumstancewhether health issue might reasonable impact one ability succeed job,mental health still largely stigmatised unless interviewer mention hisher struggle first arguably risky bring one issue interview setting even nonfactor one ability job offered,burnout latent stress agreed make bit deal within department could take step back particularly stressful project asneeded also make use accrued sick time,nothing formal however ive hidden fact stressful period take tollparticularly migraine trigger,,,,,society general need better education invisible health mattersboth mental physical,,,depends circumstancewhether health issue might reasonable impact one ability succeed job mental health still largely stigmatised unless interviewer mention hisher struggle first arguably risky bring one issue interview setting even nonfactor one ability job offered burnout latent stress agreed make bit deal within department could take step back particularly stressful project asneeded also make use accrued sick time nothing formal however ive hidden fact stressful period take tollparticularly migraine trigger     society general need better education invisible health mattersboth mental physical  ,-0.764,Negative,United States of America
It depends on the issue. I would be worried that a serious issue would cost me a job. ,It could cost me a job. I'd rather conceal an issue and get a job that could help me get treatment than be honest and lose the job. ,"Simply saying that I was stressed due to other things outside of work. The conversation was very supportive, and I was told that it was okay to let certain things slip if they had to. ",Telling coworkers about stress outside of work. They were very supportive. ,"They told me they were stressed about retirement planning. Their grandparents had all died in their early 60's and they weren't sure if they would be around to enjoy retirement with that looming over them, but they didn't want to be irresponsible and not plan for retirement in case they lived a longer life.",,Told a previous coworker I dealt with depression pretty badly. They were supportive. ,,"I think the tech industry encourages a very unhealthy, lone-wolf, ""me vs them"" mentality. If someone asks a ?, ""RTFM"" is still a very common attitude. Asking for help from our colleagues is an important part of who we are as humans, and yet  we discourage that in so many ways. I'd like to see fewer lone wolf heroes in the press and more stories about how someone brought a team together and made sure everyone was happy and felt safe discussing things. ",I've seen people mocked for depression and for taking mental health days when it seemed detrimental to the team.,,depends issue would worried serious issue would cost job,could cost job id rather conceal issue get job could help get treatment honest lose job,simply saying stressed due thing outside work conversation supportive told okay let certain thing slip,telling coworkers stress outside work supportive,told stressed retirement planning grandparent died early werent sure would around enjoy retirement looming didnt want irresponsible plan retirement case lived longer life,,told previous coworker dealt depression pretty badly supportive,,think tech industry encourages unhealthy lonewolf v mentality someone asks rtfm still common attitude asking help colleague important part human yet discourage many way id like see fewer lone wolf hero press story someone brought team together made sure everyone happy felt safe discussing thing,ive seen people mocked depression taking mental health day seemed detrimental team,,depends issue would worried serious issue would cost job could cost job id rather conceal issue get job could help get treatment honest lose job simply saying stressed due thing outside work conversation supportive told okay let certain thing slip telling coworkers stress outside work supportive told stressed retirement planning grandparent died early werent sure would around enjoy retirement looming didnt want irresponsible plan retirement case lived longer life  told previous coworker dealt depression pretty badly supportive  think tech industry encourages unhealthy lonewolf v mentality someone asks rtfm still common attitude asking help colleague important part human yet discourage many way id like see fewer lone wolf hero press story someone brought team together made sure everyone happy felt safe discussing thing ive seen people mocked depression taking mental health day seemed detrimental team ,0.3313,Positive,United States of America
Too personal for an interview ,Too personal for an interview,,"Talk about depression, anxiety, eating disorders quite frequently. ",,,,"People would tell me about other peoples abuse problems, depression, anxiety",Start-ups often lack the experienced HR people to inform employees about the extent of their benefits,People weren't allowed to take enough time off and supervisors were not supportive of time off for mental health ,,personal interview,personal interview,,talk depression anxiety eating disorder quite frequently,,,,people would tell people abuse problem depression anxiety,startup often lack experienced hr people inform employee extent benefit,people werent allowed take enough time supervisor supportive time mental health,,personal interview personal interview  talk depression anxiety eating disorder quite frequently    people would tell people abuse problem depression anxiety startup often lack experienced hr people inform employee extent benefit people werent allowed take enough time supervisor supportive time mental health ,-0.9477,Negative,Canada
Fear of being judged less capable.,Fear of being judged less capable.,Related to burnout. I expressed a need for time off and they were amenable.,,,,,,Increased information & explicit support for people with mental health issues or disorders.,,,fear judged less capable,fear judged less capable,related burnout expressed need time amenable,,,,,,increased information explicit support people mental health issue disorder,,,fear judged less capable fear judged less capable related burnout expressed need time amenable      increased information explicit support people mental health issue disorder  ,-0.1744,Negative,United States of America
"I strongly feel that this is neither anyone's right to know, nor business, if they have not hired me. ",same as above.,"I spoke with both my direct supervisor, and with the department director, about the fact that I take medication for bipolar disorder, and both of them were supportive, shared that they also take medication for mental health, and then assured me that if I need to take time to deal with it, I can do so.",Mainly just stating that I am bipolar and take medication. No one seemed to stigmatize it in any way.,,,"I spoke with one coworker, who I felt confident in her ability to keep information to herself. She was respectful but ignorant, and I did in fact feel judged later for it.",It was not their own mental health; it was all gossip about someone else's mental health. It was unkind and basically came with the assumption that people with mental health issues are not capable of functioning on a level that people without mental health issues can function on.,"unsure. My current company excels in treating employees like complex people, and I am unclear on how much it is this company, and how much it is the industry. ",I have seen someone be terminated for enrolling in a mental health outpatient program,,strongly feel neither anyones right know business hired,,spoke direct supervisor department director fact take medication bipolar disorder supportive shared also take medication mental health assured need take time deal,mainly stating bipolar take medication one seemed stigmatize way,,,spoke one coworker felt confident ability keep information respectful ignorant fact feel judged later,mental health gossip someone elses mental health unkind basically came assumption people mental health issue capable functioning level people without mental health issue function,unsure current company excels treating employee like complex people unclear much company much industry,seen someone terminated enrolling mental health outpatient program,,strongly feel neither anyones right know business hired  spoke direct supervisor department director fact take medication bipolar disorder supportive shared also take medication mental health assured need take time deal mainly stating bipolar take medication one seemed stigmatize way   spoke one coworker felt confident ability keep information respectful ignorant fact feel judged later mental health gossip someone elses mental health unkind basically came assumption people mental health issue capable functioning level people without mental health issue function unsure current company excels treating employee like complex people unclear much company much industry seen someone terminated enrolling mental health outpatient program ,0.9217,Positive,Turkey
"If they need to make accommodations, it's better to let them know what they need to prepare for ",I feel there is still a stigma around mental health which I feel will impact the decision to hire ,I've been trying to raise awareness and convince my employer to sponsor mental-health first aid,"During lunch, I bring up my past experiences with my mental health challenges",,"The ones I have, have been very open and interested in learning more about the help they can provide",Conversation during lunch about my past expereiences,,Increased awareness ,A Person was let go because they kept taking off to visit their therapist ,,need make accommodation better let know need prepare,feel still stigma around mental health feel impact decision hire,ive trying raise awareness convince employer sponsor mentalhealth first aid,lunch bring past experience mental health challenge,,one open interested learning help provide,conversation lunch past expereiences,,increased awareness,person let go kept taking visit therapist,,need make accommodation better let know need prepare feel still stigma around mental health feel impact decision hire ive trying raise awareness convince employer sponsor mentalhealth first aid lunch bring past experience mental health challenge  one open interested learning help provide conversation lunch past expereiences  increased awareness person let go kept taking visit therapist ,0.8934,Positive,United States of America
"Laws notwithstanding, it is nearly impossible to prove discrimination.","It's a competitive arena, especially if you want a job that pays a living wage.  When you're over 50, it's hard enough to get a job as it is.","I described my neurodiversity to a former manager, he didn't believe me.

MH services have the usual barriers:  a secret EAP, a service that doesn't operate in my state, staffed by people not qualified to assess and refer.",,,nothing notable.  Often don't know how to react.,I told them that I was diagnosed with clinical depression and was getting help,,"Enforce tolerance of diversity more than only X/Y chromosomes and ethnicity.  Arrange broader insurance coverage (eg. couples counseling) without EAP-like hurdles.  Recognize workplace microaggressions and address policies that exacerbate mental health issues:
* Harassment for not turning on a webcam during meetings.
* Company meals are all meat all the time.  Which makes it difficult for the rest of us to not be hungry during travel, repeatedly harassed for not eating, and drawing undue attention.  WeWork addressed this, everyone else can too.  If someone can't go for one @#$@ meal without meat, their ego disorders need to be fixed or fired.
* Stop tolerating and even encouraging bullying, which includes stack ranking. NTT and Cisco, this means YOU.","A manager from the PRC was not equipped to regard his reports as humans vs robots.

Another manager is a self-styled ""libertarian"" aka ""elitist"" with a dog-eat-dog mentality.",,law notwithstanding nearly impossible prove discrimination,competitive arena especially want job pay living wage youre hard enough get job,described neurodiversity former manager didnt believe mh service usual barrier secret eap service doesnt operate state staffed people qualified assess refer,,,nothing notable often dont know react,told diagnosed clinical depression getting help,,enforce tolerance diversity xy chromosome ethnicity arrange broader insurance coverage eg couple counseling without eaplike hurdle recognize workplace microaggressions address policy exacerbate mental health issue harassment turning webcam meeting company meal meat time make difficult rest u hungry travel repeatedly harassed eating drawing undue attention wework addressed everyone else someone cant go one meal without meat ego disorder need fixed fired stop tolerating even encouraging bullying includes stack ranking ntt cisco mean,manager prc equipped regard report human v robot another manager selfstyled libertarian aka elitist dogeatdog mentality,,law notwithstanding nearly impossible prove discrimination competitive arena especially want job pay living wage youre hard enough get job described neurodiversity former manager didnt believe mh service usual barrier secret eap service doesnt operate state staffed people qualified assess refer   nothing notable often dont know react told diagnosed clinical depression getting help  enforce tolerance diversity xy chromosome ethnicity arrange broader insurance coverage eg couple counseling without eaplike hurdle recognize workplace microaggressions address policy exacerbate mental health issue harassment turning webcam meeting company meal meat time make difficult rest u hungry travel repeatedly harassed eating drawing undue attention wework addressed everyone else someone cant go one meal without meat ego disorder need fixed fired stop tolerating even encouraging bullying includes stack ranking ntt cisco mean manager prc equipped regard report human v robot another manager selfstyled libertarian aka elitist dogeatdog mentality ,-0.9138,Negative,United States of America
"Physical concerns are quantifiable and ""Wheelchair Ramps"" are a viable solution. With mental health issues the concerns are not quantifiable and viable solutions can't be generated by anyone besides the afflicted.",I don't want it to affect my evaluation vs other applicants.,,I brought up being depressed and they were receptive to helping me.,,,,,De-stigmatization.,,I appreciate your work. I'm a mixed race individual who has be diagnosed with Depression without following up for treatment. Its hard to bring up my condition because I feel it will undermine my professional advancement.,physical concern quantifiable wheelchair ramp viable solution mental health issue concern quantifiable viable solution cant generated anyone besides afflicted,dont want affect evaluation v applicant,,brought depressed receptive helping,,,,,destigmatization,,appreciate work im mixed race individual diagnosed depression without following treatment hard bring condition feel undermine professional advancement,physical concern quantifiable wheelchair ramp viable solution mental health issue concern quantifiable viable solution cant generated anyone besides afflicted dont want affect evaluation v applicant  brought depressed receptive helping     destigmatization  appreciate work im mixed race individual diagnosed depression without following treatment hard bring condition feel undermine professional advancement,-0.4812,Negative,United States of America
"Well, physical is weird. Might make them think i’ll Take a ton of sick days","I don’t know them that well and I assume everyone has some form of these issues in a creative job like ours
",I talked about being anxious and having a bout of depression and was told to take whatever time I needed,"I always feel fine talking about my struggles with social anxiety and depression... usually it’s taken well, occasionally I get the “you don’t seem anxious” 🙄",I don’t remember but I know i’m Not the only one struggling ,Same as above,Same as above,,,,,well physical weird might make think ill take ton sick day,dont know well assume everyone form issue creative job like,talked anxious bout depression told take whatever time needed,always feel fine talking struggle social anxiety depression usually taken well occasionally get dont seem anxious,dont remember know im one struggling,,,,,,,well physical weird might make think ill take ton sick day dont know well assume everyone form issue creative job like talked anxious bout depression told take whatever time needed always feel fine talking struggle social anxiety depression usually taken well occasionally get dont seem anxious dont remember know im one struggling      ,-0.91,Negative,United States of America
"It's not their business, especially if it doesn't affect my work.",It's not their business if it doesn't affect my work. And I wouldn't want it to affect my chances at getting hired.,,,,I told my previous supervisor that I would be attending therapy appts during the workday regarding grief. He was supportive and said I didn't need to disclose anything unneeded and had no issues with me taking the time to attend appts.,"At a previous workplace, we joked amongst ourselves about how many of us were on anti-depressants. We were overall very supportive of each other.",We talked about the medications we were taking and how they were working. ,"Discuss common issues in the workplace - burnout, stress, anxiety.",, ,business especially doesnt affect work,business doesnt affect work wouldnt want affect chance getting hired,,,,told previous supervisor would attending therapy appts workday regarding grief supportive said didnt need disclose anything unneeded issue taking time attend appts,previous workplace joked amongst many u antidepressant overall supportive,talked medication taking working,discus common issue workplace burnout stress anxiety,,,business especially doesnt affect work business doesnt affect work wouldnt want affect chance getting hired    told previous supervisor would attending therapy appts workday regarding grief supportive said didnt need disclose anything unneeded issue taking time attend appts previous workplace joked amongst many u antidepressant overall supportive talked medication taking working discus common issue workplace burnout stress anxiety  ,-0.4519,Negative,United States of America
That would burn all bridges towards a job I'd really want,That would burn all bridges towards a job I'd really want,"We were driving home from an OSMI presentation by @skoop, after which the ""talk"" was easy. I mentioned some personal things during said talk.",During my exit at my previous company I mentioned that I had to leave because of A) commute and B) mental health.,,When I left my previous job I mentioned my self-diagnosed burnout.,I mentioned I was starting to burnout before deciding to leave the company.,They mentioned they have had help in the past whilst they were advising me to get professional help.,Be. More. Open.,,,would burn bridge towards job id really want,would burn bridge towards job id really want,driving home osmi presentation skoop talk easy mentioned personal thing said talk,exit previous company mentioned leave commute b mental health,,left previous job mentioned selfdiagnosed burnout,mentioned starting burnout deciding leave company,mentioned help past whilst advising get professional help,open,,,would burn bridge towards job id really want would burn bridge towards job id really want driving home osmi presentation skoop talk easy mentioned personal thing said talk exit previous company mentioned leave commute b mental health  left previous job mentioned selfdiagnosed burnout mentioned starting burnout deciding leave company mentioned help past whilst advising get professional help open  ,0.8437,Positive,United States of America
"Because it probably won't affect my work, and if it does it will likely only do so temporarily.",Because I worry it would negatively affect my chances of getting the job.,"I discussed with my manager that I've been going through a bad bout of depression, and that it's negatively affected my work output.  They have been very understanding and have worked hard to keep me on track and give me any time off or resources I need.","I've talked to some of my closer coworkers about my depression and how it's affecting me.  Everyone is supportive, but doesn't really know what to do with that information in most cases.","After admitting that I was struggling with depression, another coworker confided in me their struggles with depression and various medications they had been on.",,,,Mandatory quarterly vacation.,,Thanks for doing this.,probably wont affect work likely temporarily,worry would negatively affect chance getting job,discussed manager ive going bad bout depression negatively affected work output understanding worked hard keep track give time resource need,ive talked closer coworkers depression affecting everyone supportive doesnt really know information case,admitting struggling depression another coworker confided struggle depression various medication,,,,mandatory quarterly vacation,,thanks,probably wont affect work likely temporarily worry would negatively affect chance getting job discussed manager ive going bad bout depression negatively affected work output understanding worked hard keep track give time resource need ive talked closer coworkers depression affecting everyone supportive doesnt really know information case admitting struggling depression another coworker confided struggle depression various medication    mandatory quarterly vacation  thanks,-0.9678,Negative,United States of America
Physical issues are more widely accepted as reasons to be incapable of performing duties to their full extent. ,"Mental health issues have a much larger stigma around them that would negatively affect my chances at getting a job. Also as I can continue to function relatively normally with my issues, I can get away with not expressing them.","Discussed the fact that I was starting treatment for my generalized anxiety disorder and the potential that I might start taking medication for it.
My manager was very understanding and just said to let him know if I needed anything.",,,,,,The industry could improve their support for mental health issues by continuing to normalize employees getting support for their issues and providing easy to understand documentation as to what is covered or not under their insurance plans. Also not pushing employees to work themselves to the bone/encouraging and supporting a healthy work life balance is important so that employees have the ability to take time off to deal with things that they need to.,,,physical issue widely accepted reason incapable performing duty full extent,mental health issue much larger stigma around would negatively affect chance getting job also continue function relatively normally issue get away expressing,discussed fact starting treatment generalized anxiety disorder potential might start taking medication manager understanding said let know needed anything,,,,,,industry could improve support mental health issue continuing normalize employee getting support issue providing easy understand documentation covered insurance plan also pushing employee work boneencouraging supporting healthy work life balance important employee ability take time deal thing need,,,physical issue widely accepted reason incapable performing duty full extent mental health issue much larger stigma around would negatively affect chance getting job also continue function relatively normally issue get away expressing discussed fact starting treatment generalized anxiety disorder potential might start taking medication manager understanding said let know needed anything      industry could improve support mental health issue continuing normalize employee getting support issue providing easy understand documentation covered insurance plan also pushing employee work boneencouraging supporting healthy work life balance important employee ability take time deal thing need  ,0.9432,Positive,United States of America
