Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,What country do you *work* in?
"I've mentioned before that I'm prone to migraines, and they've been accommodating in allowing low lighting and later hours, without which I might not be able to work at all.","Mental illness in the US is like a scarlet letter, few understand and even most of those that do expect you to self-medicate it away to perform. I would expect an swift ""not the right fit"" rejection.",,,,"In my last job, it only finally came up on the day I was fired. They were supportive, having obviously recognized it, but the position was a pressure cooker and it was too late anyway. In the job before that, I went to see one of the HR managers for a referral after most of a week just unable to get to work, and she handed me list of counselors but that was the end of everything. Other signs like anger management issues had been long ignored.",,A couple of my coworkers would regularly confide in me about their burnout. One would talk (more than I had time for) about his divorce and how it was affecting everything at work.,"Make it part of onboarding and training, just like all the other OSHA and health stuff they drill you on. And of course, stop intentionally burning employees out by working them as hard as possible and letting them go as soon as they can't keep up.",I was basically told to hang in there by coworkers when I broke up and broke down. (Though one did share a very personal story with me.) In other instances I was just told to see HR where I was handed a list of counselors.,I'm not sure right now.,ive mentioned im prone migraine theyve accommodating allowing low lighting later hour without might able work,mental illness u like scarlet letter understand even expect selfmedicate away perform would expect swift right fit rejection,,,,last job finally came day fired supportive obviously recognized position pressure cooker late anyway job went see one hr manager referral week unable get work handed list counselor end everything sign like anger management issue long ignored,,couple coworkers would regularly confide burnout one would talk time divorce affecting everything work,make part onboarding training like osha health stuff drill course stop intentionally burning employee working hard possible letting go soon cant keep,basically told hang coworkers broke broke though one share personal story instance told see hr handed list counselor,im sure right,ive mentioned im prone migraine theyve accommodating allowing low lighting later hour without might able work mental illness u like scarlet letter understand even expect selfmedicate away perform would expect swift right fit rejection    last job finally came day fired supportive obviously recognized position pressure cooker late anyway job went see one hr manager referral week unable get work handed list counselor end everything sign like anger management issue long ignored  couple coworkers would regularly confide burnout one would talk time divorce affecting everything work make part onboarding training like osha health stuff drill course stop intentionally burning employee working hard possible letting go soon cant keep basically told hang coworkers broke broke though one share personal story instance told see hr handed list counselor im sure right,-0.8957,Negative,United States of America
sdfsdf,sfs,,,,i dont know,,,sdfsf,sdfsdf,safs,sdfsdf,sfs,,,,dont know,,,sdfsf,sdfsdf,safs,sdfsdf sfs    dont know   sdfsf sdfsdf safs,0,Neutral,United States of America
da,qeq,,,,das,dasd,da,vfd,fsdf,as,da,qeq,,,,da,dasd,da,vfd,fsdf,,da qeq    da dasd da vfd fsdf ,0,Neutral,Canada
Because it can impact my work,Stigma,,,,,,,More open conversation,,No,impact work,stigma,,,,,,,open conversation,,,impact work stigma       open conversation  ,0,Neutral,United States of America
because my work isn't physical,Potential discrimination,,,,,,,less hours,,,work isnt physical,potential discrimination,,,,,,,less hour,,,work isnt physical potential discrimination       less hour  ,0,Neutral,Australia
Not so controversial and would become obvious. More of a problem if taking up work which you are unable to perform. Openness seems common sense in this situation.,"People may sympathise, and want to avoid you. They would find a different reason not to hire. People are like that.",,,,Explained problem and agreed I should see doctor.,Told them. They were sympathetic.,Told me about diagnosis. I believe I was sympathetic.,"Examine effects of hours, feedback methods, and targets.","People criticised the manager for not telling them about the colleague's condition. But the manager was bound by confidentiality, and explained that others would not like it if the manager discussed their personal lives.  I quite understood this, but there was nevertheless tension over the matter.",No.,controversial would become obvious problem taking work unable perform openness seems common sense situation,people may sympathise want avoid would find different reason hire people like,,,,explained problem agreed see doctor,told sympathetic,told diagnosis believe sympathetic,examine effect hour feedback method target,people criticised manager telling colleague condition manager bound confidentiality explained others would like manager discussed personal life quite understood nevertheless tension matter,,controversial would become obvious problem taking work unable perform openness seems common sense situation people may sympathise want avoid would find different reason hire people like    explained problem agreed see doctor told sympathetic told diagnosis believe sympathetic examine effect hour feedback method target people criticised manager telling colleague condition manager bound confidentiality explained others would like manager discussed personal life quite understood nevertheless tension matter ,0.4091,Positive,Mongolia
For the sake of honesty.,For the sake of honesty.,,,,,,,,"Being called lazy, and and criticized","For example, if a person sought out help, you could ask if the person took the treatment, and why(or why not).",sake honesty,sake honesty,,,,,,,,called lazy criticized,example person sought help could ask person took treatment whyor,sake honesty sake honesty        called lazy criticized example person sought help could ask person took treatment whyor,0.6249,Positive,United States of America
nil,nil,,,,,,,nn,,nn,nil,nil,,,,,,,nn,,nn,nil nil       nn  nn,0,Neutral,United States of America
"Makes me look bad or not ""fully available"" or reliable for the job",Same as physical,,,,,,,,,,make look bad fully available reliable job,physical,,,,,,,,,,make look bad fully available reliable job physical         ,-0.5423,Negative,United Kingdom
it will affect me negatively,it would affect me negatively,,,,i am suffering from stress,i am suffering from stress,,this person is not fit to work,they made fun of my mental condition,no,affect negatively,would affect negatively,,,,suffering stress,suffering stress,,person fit work,made fun mental condition,,affect negatively would affect negatively    suffering stress suffering stress  person fit work made fun mental condition ,-0.7184,Negative,Cameroon
I really depends on the company and If I think they are willing to be accepting of it. It would also depend on what the physical health issue was.,It would depend on what it was and the negative connotations around it.,,,,,,,"Mental health issues can be very difficult in the tech industry. We typically work in small, fast paced teams. There are huge pressures on us to deliver quickly that mean we rarely have time to write quality code. It makes it very difficult to work with people with Mental Health issues as you really need to spend quality time with them and you can't be in a rush to do it. Companies need to be willing to invest in people and give them the time they require to work effectively and not just quickly..",,,really depends company think willing accepting would also depend physical health issue,would depend negative connotation around,,,,,,,mental health issue difficult tech industry typically work small fast paced team huge pressure u deliver quickly mean rarely time write quality code make difficult work people mental health issue really need spend quality time cant rush company need willing invest people give time require work effectively quickly,,,really depends company think willing accepting would also depend physical health issue would depend negative connotation around       mental health issue difficult tech industry typically work small fast paced team huge pressure u deliver quickly mean rarely time write quality code make difficult work people mental health issue really need spend quality time cant rush company need willing invest people give time require work effectively quickly  ,-0.4767,Negative,Pakistan
They'd get a false impression I'm not capable to work. I don't need to reveal these things until I'm hired.,I definitely don't need any negative consequences that come with a stigma of mental illness. I could reveal some symptoms after being hired if I need to request certain accommodations,,,,,"I had to co-live with my college groupmate when we had an internship in the same company, so he was exposed to my panic attacks and other adverse reactions. Because of that, I had to explain my backstory and where these issues came from. After the talk, he has become more accepting and protective",,Make mental-health-related accommodations a norm,,,theyd get false impression im capable work dont need reveal thing im hired,definitely dont need negative consequence come stigma mental illness could reveal symptom hired need request certain accommodation,,,,,colive college groupmate internship company exposed panic attack adverse reaction explain backstory issue came talk become accepting protective,,make mentalhealthrelated accommodation norm,,,theyd get false impression im capable work dont need reveal thing im hired definitely dont need negative consequence come stigma mental illness could reveal symptom hired need request certain accommodation     colive college groupmate internship company exposed panic attack adverse reaction explain backstory issue came talk become accepting protective  make mentalhealthrelated accommodation norm  ,0.2495,Positive,Brazil
"It's likely relevant to my ability to perform my job, or an ""elephant in the room"" to discuss a physical health issue.","Worry about ineligibility for a position based on being ""crazy""",,,,,"I told people who have become my friends outside of our working relationship about panic attacks and stress I believed to be related to work. They reacted with concern, saying ""that's not good"" and offering to take some of the workload from me. They also encouraged me to ""calm down"" regularly, and we all participated in some unhealthy drinking habits formed around the free-alcohol culture of the office.",,"Mental health disorders are a hard thing to accept both as a male and as a person who wants to be ""above"" health problems. I think keeping mental health at the forefront of our minds, especially in 2020 but probably beyond, as something that is classified as the same kind of ""necessary day off"" as being physically ill is important. Beating employees over the head (metaphorically) with resources they can use and continuing to broadcast success stories from either brave self-identifying folks or anonymous folks de-mystifies the problem and may motivate others to see that there is support and ""a way forward"" rather than suffering and potentially unhealthy coping reinforced by a culture of ""dealing with it yourself"".",I'd rather not.,,likely relevant ability perform job elephant room discus physical health issue,worry ineligibility position based crazy,,,,,told people become friend outside working relationship panic attack stress believed related work reacted concern saying thats good offering take workload also encouraged calm regularly participated unhealthy drinking habit formed around freealcohol culture office,,mental health disorder hard thing accept male person want health problem think keeping mental health forefront mind especially probably beyond something classified kind necessary day physically ill important beating employee head metaphorically resource use continuing broadcast success story either brave selfidentifying folk anonymous folk demystifies problem may motivate others see support way forward rather suffering potentially unhealthy coping reinforced culture dealing,id rather,,likely relevant ability perform job elephant room discus physical health issue worry ineligibility position based crazy     told people become friend outside working relationship panic attack stress believed related work reacted concern saying thats good offering take workload also encouraged calm regularly participated unhealthy drinking habit formed around freealcohol culture office  mental health disorder hard thing accept male person want health problem think keeping mental health forefront mind especially probably beyond something classified kind necessary day physically ill important beating employee head metaphorically resource use continuing broadcast success story either brave selfidentifying folk anonymous folk demystifies problem may motivate others see support way forward rather suffering potentially unhealthy coping reinforced culture dealing id rather ,-0.7184,Negative,India
Not required,Not Required,,discussed about the work load,,,,,"Any tech industries are very professionals, they never work with emotions. They just want their work to complete for what you have been paid. Only few organizations are taking care of their employees like family.",,,required,required,,discussed work load,,,,,tech industry professional never work emotion want work complete paid organization taking care employee like family,,,required required  discussed work load     tech industry professional never work emotion want work complete paid organization taking care employee like family  ,0.6681,Positive,Australia
Because it would decrease my chances of success.,Because it would greatly decrease my odds of success.,,"Dismissive. I am male, and as a result no one really gives a shit how I'm doing.","Extremely similar to mine. I try to be supportive but ultimately there's nothing I can do, and seeking professional help is almost always dismissive.",,,,Acknowledge that men aren't disposable.,,,would decrease chance success,would greatly decrease odds success,,dismissive male result one really give shit im,extremely similar mine try supportive ultimately there nothing seeking professional help almost always dismissive,,,,acknowledge men arent disposable,,,would decrease chance success would greatly decrease odds success  dismissive male result one really give shit im extremely similar mine try supportive ultimately there nothing seeking professional help almost always dismissive    acknowledge men arent disposable  ,0.6666,Positive,Russia
,stigma,"discussed anxiety disorder and desire to WFH more 
frequently. they honored this request with no problem.",,,,,,,,,,stigma,discussed anxiety disorder desire wfh frequently honored request problem,,,,,,,,, stigma discussed anxiety disorder desire wfh frequently honored request problem        ,0.1027,Positive,United States of America
more accepted,possible stigma,awkwardness,accepted,,,,,more information dissemination,underestimating impact to me.,,accepted,possible stigma,awkwardness,accepted,,,,,information dissemination,underestimating impact,,accepted possible stigma awkwardness accepted     information dissemination underestimating impact ,0.3612,Positive,India
just to let them know,risk to job,,,,,,,keep stress free workplace,,no,let know,risk job,,,,,,,keep stress free workplace,,,let know risk job       keep stress free workplace  ,-0.1531,Negative,United States of America
,,,,,,,,"Be supportive, talk openly",,No,,,,,,,,,supportive talk openly,,,        supportive talk openly  ,0.296,Positive,United States of America
if it affects on the profession that i was applying,depends on the situation,,,,,,,giving short time breaks for the employees after a certain task is done,,no,affect profession applying,depends situation,,,,,,,giving short time break employee certain task done,,,affect profession applying depends situation       giving short time break employee certain task done  ,0.5423,Positive,India
,,,,,,,,,,No,,,,,,,,,,,,          ,0,Neutral,Philippines
I don't want to show my weakness to the interviewer. but if asked i will not lie,I ensure that i will attend the interview in full mental health with full concentration,,,He told he is under pressure because of project deadlines and not able to communicate with the same because of ego,,,,There must be some mental health check camps similar to physical health check. more education is required on mental health disorders with case studies.,,Inform in advance how much time it will take for the survey and educate on the mental illness. We face stress and pressure in project and their deadlines. not sure how to face them.,dont want show weakness interviewer asked lie,ensure attend interview full mental health full concentration,,,told pressure project deadline able communicate ego,,,,must mental health check camp similar physical health check education required mental health disorder case study,,inform advance much time take survey educate mental illness face stress pressure project deadline sure face,dont want show weakness interviewer asked lie ensure attend interview full mental health full concentration   told pressure project deadline able communicate ego    must mental health check camp similar physical health check education required mental health disorder case study  inform advance much time take survey educate mental illness face stress pressure project deadline sure face,-0.6798,Negative,United States of America
FEAR OF REJECTION,FEAR OF REJECTION,,,N,,,,LEAVE DOESNT NEED EXPLANATION. JUST APPLY LEAVE,na,HOW ANONYMOUS IS A COMPANY WHEN TREATING MENTAL ILLNESS WE ARE NOT CONFIDENT,fear rejection,fear rejection,,,n,,,,leave doesnt need explanation apply leave,na,anonymous company treating mental illness confident,fear rejection fear rejection   n    leave doesnt need explanation apply leave na anonymous company treating mental illness confident,-0.9231,Negative,India
I am mental :) I don’t want them to know that,I assume that people don’t want to hire mental people,,,,,,,Be more open minded and supportive,,,mental dont want know,assume people dont want hire mental people,,,,,,,open minded supportive,,,mental dont want know assume people dont want hire mental people       open minded supportive  ,0.1916,Positive,Sri Lanka
not appropriate talking about this issue,it's private question,,,,,,,,,,appropriate talking issue,private question,,,,,,,,,,appropriate talking issue private question         ,0,Neutral,United States of America
Not sure how would the potential employer open to this discussion,Not sure how would the potential employer treat me,,,"Negative personality, psycho",,,,This is still not treated as important in organizations.,,How is society treating one with mental illness in respondents point if view is what could have been included,sure would potential employer open discussion,sure would potential employer treat,,,negative personality psycho,,,,still treated important organization,,society treating one mental illness respondent point view could included,sure would potential employer open discussion sure would potential employer treat   negative personality psycho    still treated important organization  society treating one mental illness respondent point view could included,0.1779,Positive,India
Depends if it was pertinent to the role,Depends if it was pertinent to the role,,,Past experiences with mental health,,,,"Stop crunch culture, encourage more awareness of mental health",,,depends pertinent role,depends pertinent role,,,past experience mental health,,,,stop crunch culture encourage awareness mental health,,,depends pertinent role depends pertinent role   past experience mental health    stop crunch culture encourage awareness mental health  ,0.2732,Positive,Brazil
I don't know,I don't know,,,,,,,,,,dont know,dont know,,,,,,,,,,dont know dont know         ,0,Neutral,India
I,It's a disadvantage.,,,,,,,"Openness, eliminate the taboo.",,"I want to help, I want to advocate, but I'm scared doing so will hurt my career.",,disadvantage,,,,,,,openness eliminate taboo,,want help want advocate im scared hurt career, disadvantage       openness eliminate taboo  want help want advocate im scared hurt career,-0.5267,Negative,Poland
Not sure if that would hamper my chances of getting the job,Hamper my job prospects,,"Feeling streed out, lack of sleep, tired",,,,,Create more awareness. Work Life Balance. Encourage people to open out when faced with challenges. Train Managers / HR to have a sympathetic view,Negatively treated,No,sure would hamper chance getting job,hamper job prospect,,feeling streed lack sleep tired,,,,,create awareness work life balance encourage people open faced challenge train manager hr sympathetic view,negatively treated,,sure would hamper chance getting job hamper job prospect  feeling streed lack sleep tired     create awareness work life balance encourage people open faced challenge train manager hr sympathetic view negatively treated ,0.8689,Positive,United States of America
we get judged and might not get the job.,no one would want to have a mental health employee asit would affect their work,,,,,,,"govt should enforce a strict law, otherwise in india nobody cares about their employees. they treat us as slave","when stressed out and asked for leave as we were going through extending shift hours, leave was denied",na,get judged might get job,one would want mental health employee asit would affect work,,,,,,,govt enforce strict law otherwise india nobody care employee treat u slave,stressed asked leave going extending shift hour leave denied,na,get judged might get job one would want mental health employee asit would affect work       govt enforce strict law otherwise india nobody care employee treat u slave stressed asked leave going extending shift hour leave denied na,0.128,Positive,Taiwan
"If that will affect or hinder my ability to work effectively, then it is important to be upfront about it for transparency.",Neutral,,,,,,,Make it a part of the workplace wellness program,,,affect hinder ability work effectively important upfront transparency,neutral,,,,,,,make part workplace wellness program,,,affect hinder ability work effectively important upfront transparency neutral       make part workplace wellness program  ,0.836,Positive,Australia
it would act as a deterrent for the employer in hiring me if i bring up physical health issue,It would limit my capabilities in the eyes of the employer,,,,,,,"Raise awareness about symptoms of such diseases for self diagnosis
Set -up anonymous counselling camps for employees
Provide coverage in medical insurance policies for mental health issues
set up support groups to help employees with mental health conditions",,,would act deterrent employer hiring bring physical health issue,would limit capability eye employer,,,,,,,raise awareness symptom disease self diagnosis set anonymous counselling camp employee provide coverage medical insurance policy mental health issue set support group help employee mental health condition,,,would act deterrent employer hiring bring physical health issue would limit capability eye employer       raise awareness symptom disease self diagnosis set anonymous counselling camp employee provide coverage medical insurance policy mental health issue set support group help employee mental health condition  ,0.6597,Positive,India
Skip,Stigma,I had to take leave for several days due to a mood episode that caused me to be hospitalized. My boss was supportive and asked basically no questions.,Skip,,,,,Skip,,N/a,skip,stigma,take leave several day due mood episode caused hospitalized bos supportive asked basically question,skip,,,,,skip,,na,skip stigma take leave several day due mood episode caused hospitalized bos supportive asked basically question skip     skip  na,0.25,Positive,United States of America
I would afraid of not getting offer,I would afraid of not getting the offer,,,,,,,They can reduce the work loads,,No comment,would afraid getting offer,would afraid getting offer,,,,,,,reduce work load,,comment,would afraid getting offer would afraid getting offer       reduce work load  comment,0,Neutral,United Kingdom
"Could have an influence on the interview, makes me look weak",makes me look weak,,,"My coworker was just talking about the leader of the group, as she was sick an no on one knew the reason. My coworker was guessing that she is suffering from a burn-out.",She saw that I was not feeling well and asked me about it. In this moment I was so emotional that I had to talk about it with her.,,,"Offer them to talk about issues, fitness offers in breaks or also after work events, healthy food, quiet rooms for working, couches and chill-out areas",,"IT-workers prefer to work in the dark. But sunlight is essential due to a healthy body. Is there a solution? (offices out of glas, open, sunny rooms for breaks etc.)",could influence interview make look weak,make look weak,,,coworker talking leader group sick one knew reason coworker guessing suffering burnout,saw feeling well asked moment emotional talk,,,offer talk issue fitness offer break also work event healthy food quiet room working couch chillout area,,itworkers prefer work dark sunlight essential due healthy body solution office glas open sunny room break etc,could influence interview make look weak make look weak   coworker talking leader group sick one knew reason coworker guessing suffering burnout saw feeling well asked moment emotional talk   offer talk issue fitness offer break also work event healthy food quiet room working couch chillout area  itworkers prefer work dark sunlight essential due healthy body solution office glas open sunny room break etc,0.3818,Positive,India
"It gives the impression that you could be weak, you would miss work for days and no employer want to deal with those possibilities. Both sides are not trainned to be open, honest and find the way to express in the ideal manner how they both could make it work.","It gives the impression that you could be weak, you would miss work for days and no employer want to deal with those possibilities.",,I´ve mentioned that when I was Young (14) I went through undiagnosed depression after my mother died and how I was able to pull myself out of it. I am praised for being strong and capable.,"In my team we serve as a support system, especially under stressful situation, never it was a diagnosed case because we all are able to get through with each others help. I´ve heard other managers had leave of absence because they were going through mental health issues, some time after we talked about therapy and how it worked for them. Sometime it makes me interested to try some abstract concept of therapy because the regular ones, I am sure I am able to deal with it myself.",,,,"Empathy and be a better human being. When you don´t judge people for what they suffer, it is easier to want to help others. Regarding the employers and industry, bring more awareness to the issues, offer confidentiality and a support line.",,,give impression could weak would miss work day employer want deal possibility side trainned open honest find way express ideal manner could make work,give impression could weak would miss work day employer want deal possibility,,ive mentioned young went undiagnosed depression mother died able pull praised strong capable,team serve support system especially stressful situation never diagnosed case able get others help ive heard manager leave absence going mental health issue time talked therapy worked sometime make interested try abstract concept therapy regular one sure able deal,,,,empathy better human dont judge people suffer easier want help others regarding employer industry bring awareness issue offer confidentiality support line,,,give impression could weak would miss work day employer want deal possibility side trainned open honest find way express ideal manner could make work give impression could weak would miss work day employer want deal possibility  ive mentioned young went undiagnosed depression mother died able pull praised strong capable team serve support system especially stressful situation never diagnosed case able get others help ive heard manager leave absence going mental health issue time talked therapy worked sometime make interested try abstract concept therapy regular one sure able deal    empathy better human dont judge people suffer easier want help others regarding employer industry bring awareness issue offer confidentiality support line  ,0.9711,Positive,United States of America
potential discrimination,potential discrimination,,,they informed me they were manic/depressive and under medication for this,,,,"new to the industry, unsure",,no,potential discrimination,potential discrimination,,,informed manicdepressive medication,,,,new industry unsure,,,potential discrimination potential discrimination   informed manicdepressive medication    new industry unsure  ,-0.25,Negative,India
It would be worst if I'm hired that they will notice it by themselves and not by me.,It's better to be honest from the beginning.,,Feel depressed sometimes and colleagues were supportive.,,,,,Promoting mental health activities among employees,,Nothing to add.,would worst im hired notice,better honest beginning,,feel depressed sometimes colleague supportive,,,,,promoting mental health activity among employee,,nothing add,would worst im hired notice better honest beginning  feel depressed sometimes colleague supportive     promoting mental health activity among employee  nothing add,0.3612,Positive,Indonesia
